CH 1	CH 2	CH 3	CH 4	DE 1	DE 2	DE 3	DE 4	EN 1	EN 2	EN 3	EN 4
Swiss German term	Swiss German term (alternate)			High German translation	High German translation (alternate)			English Translation	English translation (alternate)		
cho	choo			kommen				to come			
ich chume				ich komme				I come			
du chunsch				du kommst				you come			
er chunt				er kommt				he comes			
mir chömed				wir kommen				we come			
ich bi cho	ich bin cho			ich bin gekommen				I came			
geschter				gestern				yesterday			
											
da				hier				here			
det	dete			da				there			
det äne				da drüben				over there			
mol	moll	doch		doch				yu-huh	is so	is too	
Schtai am Rhii				Stein am Rhein				Stein am Rhein			
wone				wohnen				to live	to dwell		
scho				schon				already			
vo				von				from			
au				auch				also			
mit oi	mit eu			mit euch				with you (all)			
s Äntli				das Entchen				the duckling			
äntli				endlich				finally			
d Büchs	d Dose			die Dose				the can			
Mir sind bi ihm dihei.				Wir sind bei ihm zu Hause.				We are at his house.			
no	na			noch				still			
Züri				Zürich				Zurich			
grad				gerade				just	right away		
jetz				jetzt				now			
kai				kein				not a			
choche	koche			kochen				to cook	to boil		
d Brugg				die Brücke				the bridge			
zrugg				zurück				back			
de Schtärn				der Stern				the star			
schpile				spielen				to play			
de Gascht				der Gast				the guest			
de Puure				der Bauer				the farmer			
Dütsch	Tütsch			Deutsch				German			
d Liecht				die Licht				the light			
Wiä bitte?	Wie bitte?			Wie bitte?				I beg your pardon?			
de Spiegel				der Spiegel				the mirror			
tüüf				tief				deep			
dur				durch				through			
Wiä gaats?	Wie gaats?			Wie geht's?				How are you?			
schlächt				schlecht				bad			
de Chäfer				der Käfer				the beetle			
d Brüle				die Brille				the (pair of) glasses			
s Buäch				das Buch				the book			
guet	guät			gut				good			
s Huus				das Haus				the house			
d Muus				die Maus				the mouse			
d Füürzüüg				das Feuerzeug				the lighter			
Lüüt				die Leute				people			
hütt				heute				today			
sii	si			sein				to be			
d Ziit				die Zeit				the time			
bi ois				bei uns				at our place			
d Wuche				die Woche				the week			
d Sunne				die Sonne				the sun			
s Brötli				das Brotchen				the roll			
d Rächnig				die Rechnung				the bill			
d Quittig				die Quittung				the receipt			
uufruume				aufräumen				to clean up	to tidy up		
aafange				anfange				to start			
iistiige				einsteigen				to get on			
uusstiige				aussteigen				to get off			
bsuäche				besuchen				to visit			
de Maa				der Mann				the man			
d Frau				die Frau				the woman			
s Chind				das Kind				the child			
d Chind				die Kinder				the children			
en Maa				ein Mann				a man			
e Frau				eine Frau				a woman			
es Chind				ein Kind				a child			
Chind				Kinder				children			
kain Maa				kein Mann				no man			
kai Frau				keine Frau				no woman			
kais Chind				kein Kind				no child			
kai Chind				keine Kinder				no children			
mit em Maa				mit dem Mann				with the man			
mit de Frau				mit der Frau				with the woman			
mit em Chind				mit dem Kind				with the child			
mit de Chind				mit den Kinder				with the children			
mit emene Maa	miteme Maa			mit einem Mann				with a man			
mit enere Frau	mitere Frau			mit einer Frau				with a woman			
mit emene Chind				mit einem Chind				with a child			
mit Chind				mit Kinder				with children			
ich bin	ich bi			ich bin				I am			
du bisch				du bist				you are			
er isch				er ist				he is			
sie isch	si isch			sie ist				she is			
es isch				es ist				it is			
mir sind				wir sind				we are			
ir sind				ihr seid				you (all) are			
sie sind	si sind			sie sind				they are			
Sie sind	Si sind			Sie sind							
ich bi gsi	ich bin gsii	ich bin gsi	ich bi gsii	ich bin gewesen				I was			
für mich				für mich				for me			
für dich				für dich				for you			
für in				für ihn				for him			
für si				für sie				for her	for them		
für es				für es				for it			
für ois				für uns				for us			
für oi				für euch				for you (all)			
mit mir				mit mir				with me			
mit dir				mit dir				with you			
mit im				mit ihm				with him	with it		
mit ire				mit ihr				with her			
mit ois				mit uns				with us			
mit ine				mit ihnen				with them			
min Maa				mein Mann				my husband			
mini Frau				meine Frau				my wife			
mis Chind				mein Kind				my child			
mini Chind				meine Kinder				my children			
mit mim Maa				mit meinem Mann				with my husband			
mit minere Frau				mit meiner Frau				with my wife			
mit mim Chind				mit meinem Kind				with my child			
mit mine Chind				mit meinen Kinder				with my children			
din Maa				dein Mann				your husband			
sin Maa				sein Mann				his husband			
ire Maa				ihr Mann				her husband			
iri Frau				ihre Frau				her wife			
ires Chind				ihres Kind				her child			
iri Chind				ihre Kinder				her children			
mit irem Maa				mit ihrem Mann				with her husband			
mit irere Frau				mit ihrer Frau				with her wife			
mit irem Chind				mit ihrem Kind				with her child			
mit iren Chind				mit ihren Kinder				with her children			
oise Maa				unser Mann				our husband			
oiji Maa				eurer Mann				your (all's) husband			
mer	mä	mr		man				one			
Was fürtigi?				Was für welche?				What kind?			
gäll				gelb				yellow			
umehocke								to sit around			
allei	elleige			allein				alone			
wüki				wirklich				really			
niemert				niemand				nobody	no one		
d Chile				die Kirche				the church			
de Leu				der Löwe				the lion			
s Chüssi				das Kissen				the pillow			
de Güggel				der Hahn				the rooster			
chöne				konnen				to be able to			
ich chan	ich cha			ich kann				I am able to	I can		
du chasch				du kannst				you are able to	you can		
er chan	er cha			er kann				he is able to	he can		
mir chönd				wir können				we are able to	we can		
ich ha chöne											
dörfe	törfe			durfen				to be allowed to			
ich dörf	ich törf			ich darf				I am allowed to			
du dörsch	du törfsch			du darfst				you are allowed to			
sie dörf				sie darf				she is allowed to			
mir dörfed				wir dürfen				we are allowed to			
welle				wollen				to want			
ich wet				ich will				I want			
du wetsch				du willst				you want			
er wett				er will				he wants			
müese	müäse			müssen				to have to			
ich mues	ich muäs			ich muss				I have to	I must		
du muesch	du muäsch			du musst				you have to 	you must		
sie mues	sie muäs			sie muss				she has to	she must		
mir müend	mir müänd			wir müssen				we have to	we must		
mir wend	mir wänd			wir wollen				we want			
ich sött				ich sollte				I ought to	I should		
du söttsch				du solltest				you ought to	you should		
sie sött				sie sollte				she ought to	she should		
mir sölled				wir sollten				we ought to	we should		
d Schtäge				die Treppe				the staircase			
leislig				leise				quietly			
ha	haa			haben				to have			
ich ha				ich habe				I have			
du hesch	du häsch			du hast				you have			
er het	er hät			er hat				he has			
mir hend	mir händ			wir haben				we have			
ich ha gha				ich habe gehabt				I had			
gaa	gah			gehen				to go			
ich gaa	ich gah			ich gehe				I go			
du gaasch	du gahsch			du gehst				you go			
er gaat	er gaht			er geht				he goes			
mir göhnd				wir gehen				we go			
ich bin gange				ich bin gegangen				I went			
											
de gross Maa	de grossi Maa			der grosse Mann				the big man			
d gross Frau	d grossi Frau			die grosse Frau				the big woman			
s alte Huus				das alte Haus				the old house			
d grosse Chind 				die grossen Kinder				the big children			
en grosse Maa				ein grosser Mann				a big man			
e grossi Frau				eine grosse Frau				a big woman			
es alts Huus				ein altes Haus				an old house			
grosse Maa				grosser Mann				big man			
grossi Frau				grosse Frau				big woman			
alts Huus				grosses Haus				old house			
grossi Chind				grosse Kinder				big children			
min grosse Maa				mein grosser Mann				my big husband			
mini gross Frau				meine grosse Frau				my big wife			
mis alte Huus				mein altes Haus				my old house			
mini grosse Chind				meine grossen Kinder				my big children			
											
mit em grosse Maa				mit dem grossen Mann				with the big man			
mit de grosse Frau				mit der grossen Frau				with the big woman			
mit em grosse Chind				mit dem grossen Kind				with the big child			
mit de grosse Chind				mit den grossen Kinder				with the big children			
mit emene grosse Maa				mit einem grossen Mann				with a big man			
mit enere grosse Frau				mit einer grossen Frau				with a big woman			
mit emene grosse Chind				mit einem grossen Kind				with a big child			
mit grossem Maa				mit grossem Mann				with big man			
mit grosse Frau	mit grosser Frau			mit grosser Frau				with big woman			
mit grossem Chind				mit grossem Kind				with big child			
mit grosse Chind				mit grossen Kinder				with big children			
mit mim grosse Maa				mit meinem grossen Mann				with my big husband			
mit minere grosse Frau				mit meiner grossen Frau				with my big wife			
mit mim grosse Chind				mit meinem grossen Kind				with my big child			
mit mine grosse Chind				mit meinen grossen Kinder				with my big children			
Häsch Hunger?	Häsch du Hunger?			Hast du Hunger?				Are you hungry?			
Ich froimi seer.				Ich freut mich sehr.				I am very pleased (to meet you).			
s Büsi	d Chatz			die Katze				the cat			
es Bitzli				ein Bisschen				a little bit			
s Gipfeli								the (small) croissant			
de Bueb								the boy			
s Velo								the (road) bike			
											
öppis				etwas				something			
Was isch für Ziit?				Wie Uhr ist es?				What time is it?			
Ich chume grad.				Ich komm gleich.				I'm coming right away.			
fain				lecker				tasty			
mega											
geil											
sust	susch			sonst				otherwise			
nöd				nicht				not			
nüt				nichts				nothing			
mängisch	mängmal			manchmal				sometimes			
nüme				nicht mehr				no more	not anymore		
nume	nur			nur				only			
											
											
											
nönig				noch nicht							
niemer	niämer			niemand				nobody			
d Stäge				die Treppe				the stairs			
d Stägehuus				das Treppenhaus				the stairwll			
Ich bi de Maa, wo da wont.				Ich bin der Mann, der hier wohnt.				I am the man who lives here.	I am the man that lives here.		
Guete-n-aabig.				Guten Abend.				Good evening.			
Min Name-n-isch Tobler.				Mein Name ist Tobler.				My last name is Tobler.			
haisse				heissen				to be called			
ich haisse				ich heisse				I am called			
du haissisch				du heisst				you are called			
sie haisst				sie heisst				she is called			
mir haissed				wir heissen				we are called			
ich ha ghaisst				ich habe geheisst				I was called			
ässe : to eat								to eat			
ich isse	ich ässe			ich esse				I eat			
du issisch				du esst				you eat			
er isst				er esst				he eats			
ich ha gässe 				ich habe gegessen				I ate			
mache				machen				to make			
ich mache				ich mache				I make			
du machsch				du machst				you make			
er macht				er macht				he makes			
mir mached				wir machen				we make			
mir händ gmacht				wir haben gemacht				we made			
ich ha gmacht				ich habe gemacht				I made			
gsee	gseh			sehen				to see			
ich gsee	ich gseh			ich sehe				I see			
du gseesch	du gsehsch			du siehst				you see			
er gseet	er gseht			er sieht				he sees			
mir gsend	mir gsänd			wir sehen				we see			
ich ha gsee	ich ha gseh			wir haben gesehen				we saw			
											
gää	gäh			geben				to give			
ich gib				ich gebe				I give			
du gisch				du gibst				you give			
sie git				sie gibt				she gives			
mir gäbed	mir gebed			wir geben				we give			
ich ha gää				ich habe gegeben				I gave			
gääl				gelb				yellow			
läse				lesen				to read			
du lissisch				du liest				you read			
läge				legen				to lay (actively) down			
ich legge				ich lege				I lay (something) down			
du laisch				du legst				you lay (something) down			
er lait				er legt				he lays (something) down			
mir legged				wir legen				we lay (something) down			
ich ha gleit				ich ha gelegt				I laid (something) down			
											
null				null				zero			
ais	eis			eins				one			
zwai	zwei			zwei				two			
drüü				drei				three			
viär	vier			vier				four			
foif				fünf				five			
sächs				sechs				six			
sibe				sieben				seven			
acht				acht				eight			
nüün 				neun				nine			
zä				zehn				ten			
elf				elf				eleven			
zwölf				zwölf				twelve			
drizä				dreizehn				thirteen			
viärzä				vierzehn				fourteen			
füfzä				fünfzeh				fifteen			
sächzä				sechzehn				sixteen			
sibezä				siebzehn				seventeen			
achzä				achtzehn				eighteen			
nünzä				neunzehn				nineteen			
zwänzg				zwanzig				twenty			
ainezwänzg				einundzwanzig				twenty-one			
drüüezwänzg				dreiundzwanzig				twenty-two			
foifezwänzg				fünfundzwanzig				twenty-five			
driisg				dreissig				thirty			
viärzg				vierzig				forty			
füfzg				fünfzig				fifty			
sächzg				sechzig				sixty			
sibezg				siebzig				seventy			
achzg				achtzig				eighty			
nüünedachzg				neunzig				eighty-one			
hundert				hundert				one hundred			
tuusig				eintausend				one thousand			
											
d Ais	d Eis							the one (tram)			
d Zwai								the two (tram)			
d Drüü								the three (tram)			
d Viäri								the four (tram)			
d Foifi								the five (tram)			
d Sächsi								the six (tram)			
d Sibeni								the seven (tram)			
d Achti								the eight (tram)			
d Nüüni	d Nüni							the nine (tram)			
d Zäni								the ten (tram)			
d Elfi								the eleven (tram)			
d Zwölfi								the twelve (tram)			
d Zwänzgi								the twenty (tram)			
de Foifer								the five (bus)			
de Foifräppler								the five rappen coin			
de Zäner								the ten rappen coin			
de Zwänzger								the twenty rappen coin			
de Füfzger								the fifty rappen coin			
de Aifränkler								the one Frank coin			
de Foifliiber								the five Frank coin			
d Zänernote								ten Frank note			
d Zwänzgernote								the twenty Frank note			
d Füfzgernote								the fifty Frank note			
d Hunderternote								the hundred Frank note			
d Zweihunderternote								the two hundred Frank note			
											
d Tuusigernote								the thousand Frank note			
zwüsched zwölf und ais				zwischen zwölf und eins				between twelve (o'clock) and one (o'clock)			
de Zvieri	d Zviäri							the afternoon snack			
de Znüni	de Znüüni							the morning snack			
de Zmittag				das Mittagessen				the lunch			
de Zmorge				das Frühstuck				breakfast			
de Znacht				das Abendessen				dinner	supper		
de Tessär	de Dessert			der Nachtisch	das Dessert			the dessert			
s Pule	s Poulet			das Hähnchen				the chicken			
s Portmone	s Portmonnaie			die Brieftasche				the wallet			
s Cheminee	s Schmine			der Kamin				the fireplace			
Ich gang go schaffe.								I'm going (somewhere) to work.			
Ich chume go schlafe.								I'm coming to sleep.			
Tuänd Si tschuute?	Tschutted Si?							Do you play soccer?			
Ich tuä gärn tanze.	Ich tanze gärn.							I like to dance.			
poschte				einkaufen				to shop			
luege				sehen	gücken			to look			
löse				hören				to listen			
schaffe				arbeiten				to work			
laufe				laufen	spazieren			to walk			
ränne				rennen				to run			
rede				sprechen				to speak (a language)			
schmöcke				schmecken	riechen			to taste	to smell		
aalüte								to call (on the phone)			
pfuuse	schlafe			schlafen				to sleep			
tschuute				Fussball spielen				to play soccer	to play football		
zügle								to move (houses)			
chrampfe								to work  hard			
ahha				tragen				to wear (clothes)			
übercho	überchoo			erhalten	bekommen			to receive			
Sport triibe								to play sports			
Hor uf!				Hor auf!				Stop it!			
											
badele								to bathe			
sünnele								to sunbathe			
zmorgele				frühstücken				to eat breakfast			
laa				lassen				to let			
schtaa	staa			stehen				to stand			
ich schtaa				ich stehe				I stand			
du schtaasch				du stehst				you stand			
er schtaat				er steht				he stands			
mir schtönd				wir stehen				we stand			
ich bin gschtande				ich bin gestanden				I stood			
säge				sagen				to say			
ich säge				ich sage				I say			
du saisch				du sagst				you say			
er sait				er sagt				he says			
mir säged				wir sagen				we say			
ich ha gsait				ich habe gesagt				I said			
hoi								hello	hi		
hoi zäme								hello (to more than one person)			
grüezi								hello	greetings		
grüezi mitenand								hello (to more than one person)	greetings (to more than one person)		
salut								hi			
en Guete								Bon Apetit			
morn				morgen				tomorrow			
am morge				am morgen				in the morning			
s Epeeri				die Erdbeere				the strawberry			
d Bire	d Pire			die Birne				the pear			
Hani Ziit?				Habe ich Zeit?				Do I have time?			
Hatr Hunge?				Hat er Hunger?				Is he hungry?			
Hatsi Hunger?				Hat sie Hunger?				Is she hungry?			
Wämmer go skifahre?								Shall we go and ski?			
Gömmer go poschte?								Shall we go and shop?			
Hammer öppis gha?				Haben wir etwas gehabt?				Did we have something?			
Simmer verspötet?				Sind wir verspätet?				Are we late?			
Macheder Spass?				Macht ihr Spass?				Are you (all) having fun?			
wüsse				wissen				to know (something)			
ich waiss				ich weiss				I know (something)			
du waisch				du weisst				you know (something)			
sie waiss				sie weisst				she knows (something)			
mir wüssed				wir wissen				we know (something)			
ich ha gwüsst				ich habe gewusst				I knew (something)			
nää				nehmen				to take			
ich nää				ich nehme				I take			
du nimmsch				du nimmst				you take			
er nimmt				er nimmt				he takes			
mir nämed				wir nehmen				we take			
ich ha gnaa				ich habe genommen				I took			
aamache : to turn on								to turn on			
abmache								to (make) plan(s)			
uusmache 								to turn off			
ufmache								to open			
vormache								to (already) plan (to)			
zumache											
möge								to like			
ich mag								I like			
du magsch								you like			
er mag								he likes			
mir möget								we like			
ich möcht								I would like to			
du möchtisch								you would like to			
er möcht								he would like to			
mir möchted								we would like to			
märsi vilmal				vielen dank				thank you very much			
sorry								excuse me			
ade											
Uf widerluege!				Auf wiedersehen!				Goodbye!			
äbä											
Ich schaffe z Züri.				Ich arbeite in Zürich.				I work in Zurich.			
Ich bin uf de Wält cho	Ich bin gebore			Ich bin geboren				I was born			
de Härdöpfel	de Herdöpfel			der Kartoffel				the potato			
de Öpfel				das Apfel				the apple			
s Ross				das Pferd				the horse			
öppedie								from time to time			
d Zää				die Zähne				the teeth			
s Rüebli	s Rüäbli			die Karotte				the carrot			
de Mäntig								the Monday			
de Zieschtig								the Tuesday			
de Mittwuch								the Wednesday			
de Dunschtig								the Thursday			
de Friitig								the Friday			
de Samschtig								the Saturday			
de Sunntig								the Sunday			
am Sunntig								on Sunday			
d Beiz				die Kneipe				the bar			
d Stube	Stubä							the parlour	the lounge		
spöter				spater				later			
Ich ha chalt.	Ich ha kalt.			Es ist mir kalt.				I'm (feeling) cold.			
ich hät gärn				Ich möchte				I would like (to order)			
i de Nochi				in der Nähe				nearby			
im Uusgang gaa								to go out (on the town)			
Was triibsch?								What's up?			
d Peperoni				die Paprika				the bell pepper	the capsicum pepper		
s Glace	s Glasse			das Eis				the ice cream			
s Guetzli				die Kekse				the cookie			
d Schoggi								the chocolate			
s Schoggeli								the piece of chocolate			
d Ufzgi				die Hausaufgaben				the homework			
de Flohmi	de Flohmärt			der Flohmarkt				the flea market			
s Zahni								the dentist			
de Töff				das Motorrad				the motorcycle			
gruusig	grusig			ekelhaft				gross	yucky		
zerscht				zuerst				first			
d Stange				das kleine Bier				the small beer			
um Mitternacht				am Mitternacht				at midnight			
dihei	dihai			zuhause				at home			
hei gaa	hei gah	hai gah		nach hause gehen				to go home			
s Trottoir								the sidewalk			
s Trottinette	s Trotti							the (child's push) scooter			
öpper				jemand				someone	somebody		
härcho vo				kommen von				to come from			
trinke				trinken				to drink			
bruuche				brauchen				to need			
Ich wett öppis feins ässe				Ich will etwas lecker essen				I want to eat something tasty			
Ich wösch mich				Ich wasche mich				I wash myself			
Ich wösch mich d Händ								I wash my hands			